HomerSampleID,Year,Agency,FisheryName,Species,Source,StatWeek,StatArea,SubDistrict,AStreamCode,Stock,Harvest,SampleDate,Gear,SurveySite,Rcvd,Preps,NotMarked,Marked, LCI,PWS,KOD,Other,TUTKA16PINK,TUTKA16PINKA,TUTKA17PINK,TUTKA17PINKA,TUTKA18PINK,TUTKA18PINKA,TUTKA18PINKB,TUTKA18PINKC,TUTKA19PINK,TUTKA19PINKA,TUTKA19PINKB,TUTKA20PINKB,PORTGRAHAM16,PORTGRAHAM17,PORTGRAHAM17A,PORTGRAHAM18,PORTGRAHAM19,PORTGRAHAM20,AFK16B,AFK17B,AFK18B,AFK19B,AFK20A,AFK20B,CCH16,CCH17,CCH18,CCH19,CCH20,CCH20A,SGH16,SGH17,SGH18,SGH19,SGH20,WNH16PINKB,WNH17PINKB,WNH18PINKB,WNH19PINKB,WNH20PINKB,KITOI17PINK,KITOI18PINK,KITOI19PINK
22HMS121P,2022,ADFG,,PINK,ESCAPEMENT SURVEY,39,23201,Koyuktolik (Dogfish) Subdistrict,241-40-10325,Dogfish Lagoon Creeks,,9/20/2022,NOT REQUIRED,HOMER,96,85,79,6,3,3,0,0,,,,,,,,,,,,,,,,,,3,,,,,1,2,,,,,,,,,,,,,,,,,,,
22HMS120P,2022,ADFG,,PINK,ESCAPEMENT SURVEY,38,24117,Seldovia Bay Subdistrict,241-11-10730,Seldovia River,,9/16/2022,NOT REQUIRED,HOMER,96,95,85,10,4,6,0,0,,,,,,,,,,,,,,,,,,4,,,,,2,1,,,,,3,,,,,,,,,,,,,,
22HMO119P,2022,ADFG,,PINK,ESCAPEMENT SURVEY,38,23213,Port Dick Island Creek Section,242-42-10430,Island Creek,,9/14/2022,NOT REQUIRED,HOMER,96,91,72,19,4,15,0,0,,,,,,,,,,,,1,,,,,,3,,,,,5,7,,,,,1,,,,,,1,,,,,1,,,
22HMS0118P,2022,ADFG,,PINK,ESCAPEMENT SURVEY,38,24120,Port Graham Section,241-20-10550,Port Graham River,,9/14/2022,NOT REQUIRED,HOMER,96,93,77,16,11,5,0,0,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,3,,,,,,,,,,,2,,,
22HMO117P,2022,ADFG,,PINK,ESCAPEMENT SURVEY,38,23206,Port Dick Outer Section,242-42-10460,Port Dick Creek,,9/13/2022,NOT REQUIRED,HOMER,96,93,92,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
22HMS116P,2022,ADFG,,PINK,ESCAPEMENT SURVEY,38,24107,Tutka Bay Subdistrict,241-16-10090,Tutka Creek,,9/12/2022,NOT REQUIRED,HOMER,96,81,29,52,46,6,0,0,,,,,,,,,,,,46,,,,,,,,,,,1,1,,,,,4,,,,,,,,,,,,,,
22HMS115P,2022,ADFG,,PINK,ESCAPEMENT SURVEY,37,24118,Barabara Creek Subdistrict,241-11-10800,Barabara Creek,,9/9/2022,NOT REQUIRED,HOMER,96,91,49,42,3,39,0,0,,,,,,,,,,,,1,,,,,,2,,,,,4,10,,,,,7,,,,,,4,,,,,14,,,
22HMS114P,2022,ADFG,,PINK,ESCAPEMENT SURVEY,37,24117,Seldovia Bay Subdistrict,241-11-10730,Seldovia River,,9/8/2022,NOT REQUIRED,HOMER,96,90,81,9,2,7,0,0,,,,,,,,,,,,,,,,,,2,,,,,1,2,,,,,2,,,,,,,,,,,2,,,
22HMO113P,2022,ADFG,,PINK,ESCAPEMENT SURVEY,37,23202,Port Chatham Subdistrict,242-10-10220,Port Chatham Creeks,,9/6/2022,NOT REQUIRED,HOMER,96,84,77,7,2,5,0,0,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,3,,,,,,,,,,,,,,
22HMO111P,2022,ADFG,,PINK,ESCAPEMENT SURVEY,36,23202,Port Chatham Subdistrict,241-20-10550,Port Graham River,,9/2/2022,NOT REQUIRED,HOMER,12,11,3,8,5,3,0,0,,,,,,,,,,,,1,,,,,,4,,,,,1,1,,,,,,,,,,,1,,,,,,,,
