HOMER_ID,Year,Stat Week,Species,Stat Area,Gear Name,Harvest Name,TotalFish,TotalWeight
18CPTpinks,,,,,,,,
18CPTpinks,2018,25,Pink,24106,SGN,CCP,11,
18CPTpinks,2018,25,Pink,24118,SGN,CCP,11,47
18CPTpinks,2018,25,Pink,24118,SGN,CCP,11,47
18CPTpinks,2018,26,Pink,24106,SGN,CCP,119,448
18CPTpinks,2018,26,Pink,24106,SGN,CCP,119,448
18CPTpinks,2018,26,Pink,24118,SGN,CCP,41,152
18CPTpinks,2018,26,Pink,24118,SGN,CCP,41,152
18CPTpinks,2018,32,Pink,24106,SGN,CCP,6568,20256
18GBT02S,,,,,,,,
18GBT02S,2018,23,Sockeye,24106,SGN,CCP,103,506
18GBT04S,2018,24,Sockeye,24106,SGN,CCP,280,1446
18GBT04S,2018,24,Sockeye,24118,SGN,CCP,23,118
18GBT08S,2018,25,Sockeye,24106,SGN,CCP,444,2278
18GBT08S,2018,25,Sockeye,24118,SGN,CCP,91,498
18GBT12S,2018,26,Sockeye,24106,SGN,CCP,1107,5635
18GBT12S,2018,26,Sockeye,24118,SGN,CCP,237,1237
18GBT14S,2018,27,Sockeye,24106,SGN,CCP,1005,5303
18GBT14S,2018,27,Sockeye,24118,SGN,CCP,409,2049
18GBT17S,2018,28,Sockeye,24106,SGN,CCP,938,5030
18GBT17S,2018,28,Sockeye,24118,SGN,CCP,212,1163
18GBT19S,2018,28,Sockeye,24106,SGN,CCP,938,5030
18GBT19S,2018,28,Sockeye,24118,SGN,CCP,212,1163
18GBT23S,2018,29,Sockeye,24106,SGN,CCP,1158,6336
18GBT23S,2018,29,Sockeye,24118,SGN,CCP,223,1145
18GBT25P,2018,29,Pink,24106,SGN,CCP,6132,24738
18GBT25P,2018,29,Pink,24118,SGN,CCP,505,2141
18GBT26P,2018,30,Pink,24106,SGN,CCP,7729,31285
18GBT26P,2018,30,Pink,24118,SGN,CCP,533,2227
18GBT28S,2018,30,Sockeye,24106,SGN,CCP,650,3655
18GBT28S,2018,30,Sockeye,24118,SGN,CCP,87,408
18GBT30S,2018,31,Sockeye,24106,SGN,CCP,276,1459
18GBT30S,2018,31,Sockeye,24118,SGN,CCP,22,105
18GBT32P,2018,31,Pink,24106,SGN,CCP,5158,20980
18GBT32P,2018,31,Pink,24118,SGN,CCP,583,2581
18GHC09S,2018,25,Sockeye,24115,SGN,CCP,62,358
18GHC10S,2018,26,Sockeye,24115,SGN,CCP,166,876
18GHC16S,2018,27,Sockeye,24115,SGN,CCP,220,1124
18GHC20S,2018,28,Sockeye,24115,SGN,CCP,1008,5169
18GHC21S,2018,29,Sockeye,24115,SGN,CCP,907,4492
18GHC29S,2018,30,Sockeye,24115,SGN,CCP,130,666
18GHC31S,2018,31,Sockeye,24115,SGN,CCP,106,515
18GPG03S,,,,,,,,
18GPG06S,,,,,,,,
18GPG11S,,,,,,,,
18GSL01S,2018,23,Sockeye,24117,SGN,CCP,250,1173
18GSL05S,2018,24,Sockeye,24117,SGN,CCP,333,1746
18GSL07S,2018,25,Sockeye,24117,SGN,CCP,498,2676
18GSL13S,2018,26,Sockeye,24117,SGN,CCP,886,4486
18GSL15S,2018,27,Sockeye,24117,SGN,CCP,863,4393
18GSL18S,2018,28,Sockeye,24117,SGN,CCP,449,2155
18GSL22S,2018,29,Sockeye,24117,SGN,CCP,598,3037
18GSL24P,2018,29,Pink,24117,SGN,CCP,4343,16927
18GSL27P,2018,30,Pink,24117,SGN,CCP,6647,26149
18GSL33P,2018,31,Pink,24117,SGN,CCP,9436,32165
18PSD01S,2018,25,Sockeye,24107,PS,CCP,38,160
18PSD02S,2018,25,Sockeye,24115,PS,CCP,1157,6133
18PSD03S,,,,,,,,
18PSD04S,2018,26,Sockeye,24190,PS,CCP,5160,27343
18PSD05S,2018,26,Sockeye,24191,PS,CCP,1004,5678
18PSD06S,,,,,,,,
18PSD07S,2018,26,Sockeye,24190,PS,CCP,5160,27343
18PSD08S,2018,26,Sockeye,24191,PS,CCP,1004,5678
18PSD09S,2018,27,Sockeye,24191,PS,CCP,9654,49904
18PSD10S,2018,27,Sockeye,24190,PS,CCP,2666,13413
18PSD11S,2018,27,Sockeye,24191,PS,CCP,9654,49904
18PSD12S,2018,27,Sockeye,24190,PS,CCP,2666,13413
18PSD13S,,,,,,,,
18PSD14S,2018,28,Sockeye,24190,PS,CCP,9338,37366
18PSD15S,2018,28,Sockeye,24192,PS,HCR,3157,14108
18PSD16S,2018,28,Sockeye,24106,PS,CCP,4841,22024
18PSD17P,2018,28,Pink,24106,PS,CCP,20135,78698
18PSD18S,2018,28,Sockeye,24191,PS,CCP,2416,9773
18PSD19S,2018,29,Sockeye,24190,PS,CCP,3903,16041
18PSD20S,2018,29,Sockeye,24106,PS,CCP,2232,8732
18PSD21P,2018,29,Pink,24106,PS,CCP,13863,58138
18PSD22P,2018,29,Pink,24106,PS,CCP,13863,58138
18PSD23P,2018,29,Pink,24106,PS,CCP,13863,58138
18PSD24S,2018,29,Sockeye,24191,PS,CCP,3417,14186
18PSD25S,,,,,,,,
18PSD26P,,,,,,,,
18PSD27P,2018,30,Pink,24106,PS,CCP,28085,109479
18PSD28P,2018,30,Pink,24107,PS,HCR,117377,439535
18PSD29P,2018,30,Pink,24106,PS,CCP,28085,109479
18PSD30P,2018,30,Pink,24106,PS,CCP,28085,109479
18PSD31P,2018,31,Pink,24106,PS,CCP,45858,179398
18PSD32P,2018,31,Pink,24106,PS,CCP,45858,179398
18PSD33P,2018,31,Pink,24106,PS,CCP,45858,179398
18PSD34P,2018,31,Pink,24106,PS,CCP,45858,179398
18PSD35P,2018,32,Pink,24106,PS,CCP,15259,59830
18PSD36P,2018,32,Pink,24106,PS,CCP,15259,59830
18PSD37P,,,,,,,,
18PSD38P,2018,32,Pink,24120,PS,CCP,121118,480127
