ID,DOL Year,Stat Week,DOL Month,Date of Landing,District,Subdistrict,Stat Area,Stat Area Name,Gear Name,Harvest Name,Species Name,Number Of Animals (sum),Landed Weight (sum),Business Name
1,2018,22,5,5/27/2018,231,30,23130,Resurrection Bay North,Purse seine,Private Hatchery - Fishing,"salmon, sockeye",2315,8335,Obi Seafoods-Naknek
2,2018,22,5,5/28/2018,231,30,23130,Resurrection Bay North,Purse seine,Private Hatchery - Fishing,"salmon, sockeye",6815,24873,Obi Seafoods-Naknek
3,2018,22,5,5/29/2018,231,30,23130,Resurrection Bay North,Purse seine,Private Hatchery - Fishing,"salmon, sockeye",1609,5566,Obi Seafoods-Naknek
4,2018,22,5,5/30/2018,231,30,23130,Resurrection Bay North,Purse seine,Private Hatchery - Fishing,"salmon, sockeye",7282,25997,Obi Seafoods-Naknek
5,2018,22,5,5/31/2018,231,30,23130,Resurrection Bay North,Purse seine,Private Hatchery - Fishing,"salmon, sockeye",8145,29811,Obi Seafoods-Naknek
6,2018,22,6,6/1/2018,231,30,23130,Resurrection Bay North,Purse seine,Private Hatchery - Fishing,"salmon, sockeye",13311,45276,Obi Seafoods-Naknek
7,2018,22,6,6/2/2018,231,30,23130,Resurrection Bay North,Purse seine,Private Hatchery - Fishing,"salmon, sockeye",8009,28291,Obi Seafoods-Naknek
8,2018,22,6,6/2/2018,241,6,24106,Tutka Bay,Set gillnet,State managed fishery,"salmon, chinook",4,63,Alaskan Fish Factory LTD
9,2018,22,6,6/2/2018,241,6,24106,Tutka Bay,Set gillnet,State managed fishery,"salmon, chum",1,9,Alaskan Fish Factory LTD
10,2018,22,6,6/2/2018,241,6,24106,Tutka Bay,Set gillnet,State managed fishery,"salmon, sockeye",35,148,Alaskan Fish Factory LTD
11,2018,22,6,6/2/2018,241,17,24117,Seldovia Bay,Set gillnet,State managed fishery,"salmon, chinook",2,16,Alaskan Fish Factory LTD
12,2018,22,6,6/2/2018,241,17,24117,Seldovia Bay,Set gillnet,State managed fishery,"salmon, sockeye",66,303,Alaskan Fish Factory LTD
13,2018,23,6,6/3/2018,231,30,23130,Resurrection Bay North,Purse seine,Private Hatchery - Fishing,"salmon, chum",1,18,Obi Seafoods-Naknek
14,2018,23,6,6/3/2018,231,30,23130,Resurrection Bay North,Purse seine,Private Hatchery - Fishing,"salmon, sockeye",12269,44664,Obi Seafoods-Naknek
15,2018,23,6,6/4/2018,231,30,23130,Resurrection Bay North,Purse seine,Private Hatchery - Fishing,"salmon, sockeye",6527,23397,Obi Seafoods-Naknek
16,2018,23,6,6/5/2018,231,30,23130,Resurrection Bay North,Purse seine,Private Hatchery - Fishing,"salmon, sockeye",13242,47873,Obi Seafoods-Naknek
17,2018,23,6,6/5/2018,241,30,24130,English Bay Section,Set gillnet,State managed fishery,"salmon, sockeye",14,64,Pacific Star Seafoods
18,2018,23,6,6/6/2018,231,30,23130,Resurrection Bay North,Purse seine,Private Hatchery - Fishing,"salmon, sockeye",7401,26941,Obi Seafoods-Naknek
19,2018,23,6,6/6/2018,241,6,24106,Tutka Bay,Set gillnet,State managed fishery,"salmon, chinook",4,51,Alaskan Fish Factory LTD
20,2018,23,6,6/6/2018,241,6,24106,Tutka Bay,Set gillnet,State managed fishery,"salmon, sockeye",26,124,Alaskan Fish Factory LTD
21,2018,23,6,6/6/2018,241,17,24117,Seldovia Bay,Set gillnet,State managed fishery,"salmon, chinook",3,39,Alaskan Fish Factory LTD
22,2018,23,6,6/6/2018,241,17,24117,Seldovia Bay,Set gillnet,State managed fishery,"salmon, chum",1,11,Alaskan Fish Factory LTD
23,2018,23,6,6/6/2018,241,17,24117,Seldovia Bay,Set gillnet,State managed fishery,"salmon, sockeye",137,645,Alaskan Fish Factory LTD
24,2018,23,6,6/7/2018,231,30,23130,Resurrection Bay North,Purse seine,Private Hatchery - Fishing,"salmon, sockeye",6392,23459,Obi Seafoods-Naknek
25,2018,23,6,6/7/2018,241,15,24115,Halibut Cove,Set gillnet,State managed fishery,"salmon, chinook",2,34,Mike Nakada
